"確定病名","發病年份","發病月份","縣市","鄉鎮","性別","是否為境外移入","年齡層","確定病例數"
"1","登革熱","2003","1","高雄市","楠梓區","M","否","60-64","1"
"2","登革熱","2003","10","台北市","中正區","M","是","40-44","1"
"3","登革熱","2003","11","高雄市","三民區","F","否","45-49","1"
"4","登革熱","2004","10","屏東縣","屏東市","M","否","70+","6"
"5","登革熱","2004","11","屏東縣","屏東市","F","否","5-9","1"
"6","登革熱","2004","12","屏東縣","屏東市","F","否","25-29","1"
"7","登革熱","2004","12","高雄市","大社區","M","否","20-24","1"
"8","登革熱","2004","8","台北市","中山區","M","是","35-39","1"
"9","登革熱","2005","11","花蓮縣","光復鄉","F","是","30-34","1"
"10","登革熱","2005","11","高雄市","三民區","F","否","40-44","2"
"11","登革熱","2005","8","高雄市","小港區","M","否","30-34","1"
"12","登革熱","2006","10","台南市","南區","F","否","45-49","2"
"13","登革熱","2006","10","高雄市","三民區","M","否","40-44","3"
"14","登革熱","2006","10","高雄市","三民區","M","否","45-49","2"
"15","登革熱","2006","10","高雄市","前鎮區","M","否","15-19","4"
"16","登革熱","2006","10","高雄市","鳥松區","M","否","35-39","1"
"17","登革熱","2006","11","高雄市","左營區","M","否","35-39","1"
"18","登革熱","2006","11","高雄市","苓雅區","F","否","55-59","1"
"19","登革熱","2006","11","高雄市","鼓山區","F","否","65-69","1"
"20","登革熱","2006","12","高雄市","苓雅區","M","否","65-69","1"
"21","登革熱","2006","3","台南市","善化區","M","是","45-49","1"
"22","登革熱","2006","4","嘉義市","西區","F","是","60-64","1"
"23","登革熱","2006","5","台北市","中正區","M","是","30-34","1"
"24","登革熱","2006","7","高雄市","前金區","M","否","15-19","2"
"25","登革熱","2006","7","高雄市","前鎮區","F","否","15-19","2"
"26","登革熱","2006","7","高雄市","前鎮區","F","否","20-24","2"
"27","登革熱","2006","8","高雄市","前鎮區","F","否","50-54","3"
"28","登革熱","2007","1","桃園市","楊梅區","F","是","45-49","1"
"29","登革熱","2007","10","台南市","中西區","M","否","35-39","6"
"30","登革熱","2007","10","台南市","北區","M","否","15-19","8"
"31","登革熱","2007","10","台南市","關廟區","M","否","70+","2"
"32","登革熱","2007","11","台南市","安南區","F","否","55-59","2"
"33","登革熱","2007","11","高雄市","鳳山區","M","否","10-14","2"
"34","登革熱","2007","12","台南市","北區","F","否","50-54","1"
"35","登革熱","2007","12","台南市","北區","M","否","5-9","2"
"36","登革熱","2007","12","台南市","安南區","F","否","35-39","1"
"37","登革熱","2007","12","台南市","安南區","M","否","45-49","3"
"38","登革熱","2007","12","台南市","南區","M","否","45-49","1"
"39","登革熱","2007","8","高雄市","前金區","M","否","35-39","1"
"40","登革熱","2007","9","台南市","中西區","F","否","5-9","1"
"41","登革熱","2007","9","台南市","東區","M","否","60-64","3"
"42","登革熱","2008","1","台南市","南區","F","否","30-34","1"
"43","登革熱","2008","10","高雄市","前鎮區","M","否","25-29","1"
"44","登革熱","2008","10","高雄市","楠梓區","F","否","55-59","1"
"45","登革熱","2008","10","高雄市","鳳山區","M","否","25-29","1"
"46","登革熱","2008","11","高雄市","鳳山區","M","否","55-59","2"
"47","登革熱","2008","3","高雄市","楠梓區","M","是","35-39","1"
"48","登革熱","2008","3","新北市","林口區","F","是","5-9","1"
"49","登革熱","2008","8","高雄市","楠梓區","F","否","65-69","2"
"50","登革熱","2008","9","台中市","太平區","F","是","50-54","1"
"51","登革熱","2008","9","高雄市","鼓山區","F","否","60-64","1"
"52","登革熱","2009","1","新北市","永和區","F","是","35-39","1"
"53","登革熱","2009","10","高雄市","前鎮區","M","否","70+","4"
"54","登革熱","2009","11","屏東縣","長治鄉","M","否","45-49","1"
"55","登革熱","2009","11","高雄市","三民區","M","否","35-39","1"
"56","登革熱","2009","12","台北市","萬華區","F","是","25-29","1"
"57","登革熱","2009","12","屏東縣","內埔鄉","F","否","40-44","1"
"58","登革熱","2009","12","高雄市","前鎮區","M","否","50-54","3"
"59","登革熱","2009","12","高雄市","苓雅區","M","否","20-24","1"
"60","登革熱","2009","12","高雄市","苓雅區","M","否","55-59","1"
"61","登革熱","2009","3","屏東縣","新園鄉","M","是","20-24","1"
"62","登革熱","2009","4","台北市","松山區","F","是","25-29","1"
"63","登革熱","2009","6","彰化縣","二林鎮","M","是","60-64","1"
"64","登革熱","2009","7","新北市","永和區","M","是","10-14","1"
"65","登革熱","2009","8","台北市","松山區","M","是","60-64","1"
"66","登革熱","2009","8","高雄市","小港區","F","否","65-69","2"
"67","登革熱","2009","9","台北市","松山區","M","是","25-29","1"
"68","登革熱","2010","10","台南市","中西區","F","否","40-44","2"
"69","登革熱","2010","10","台南市","永康區","M","否","55-59","1"
"70","登革熱","2010","10","台南市","東區","M","否","70+","1"
"71","登革熱","2010","10","台南市","南區","F","否","55-59","1"
"72","登革熱","2010","10","台南市","關廟區","M","否","25-29","2"
"73","登革熱","2010","10","台南市","關廟區","M","否","60-64","2"
"74","登革熱","2010","10","高雄市","前金區","F","否","5-9","1"
"75","登革熱","2010","10","高雄市","苓雅區","F","否","40-44","2"
"76","登革熱","2010","10","高雄市","苓雅區","F","否","45-49","1"
"77","登革熱","2010","10","高雄市","新興區","F","否","40-44","2"
"78","登革熱","2010","11","台南市","中西區","M","否","10-14","1"
"79","登革熱","2010","11","台南市","東區","F","否","50-54","1"
"80","登革熱","2010","11","台南市","新營區","F","否","25-29","1"
"81","登革熱","2010","11","台南市","龍崎區","M","否","45-49","1"
"82","登革熱","2010","11","台南市","關廟區","F","否","55-59","1"
"83","登革熱","2010","11","高雄市","前鎮區","M","否","50-54","2"
"84","登革熱","2010","11","高雄市","楠梓區","F","否","25-29","1"
"85","登革熱","2010","11","高雄市","鳳山區","M","否","30-34","4"
"86","登革熱","2010","12","台南市","北區","F","否","65-69","1"
"87","登革熱","2010","12","台南市","關廟區","M","否","65-69","1"
"88","登革熱","2010","12","高雄市","旗津區","F","否","40-44","1"
